标题,链接,发布时间,阅读量,评论量,点赞量,收藏量,分享量,推荐量
全球首部AI监管法案正在杀死欧洲创新？布鲁塞尔的官僚们醒醒吧,http://baijiahao.baidu.com/builder/preview/s?id=1842161623987903328,2025-09-02,10,0,0,0,0,370
我们调研了100个AI项目，发现能活下来的都有一个共同点：卖水人,http://baijiahao.baidu.com/builder/preview/s?id=1842058758314115772,2025-09-02,2,0,0,0,0,185
数字员工PUA指南？从调教到默契：超级麦吉又更新啦：「长期记忆」,http://baijiahao.baidu.com/builder/preview/s?id=1842058757989708609,2025-09-01,12,0,0,0,0,456
33元/月的AI下乡记，OpenAI在印度甩出王炸！官方GPT-5便宜到像盗版,http://baijiahao.baidu.com/builder/preview/s?id=1841515074034817760,2025-08-27,4,0,0,0,0,154
「人力资本」，就是下一个「房地产」,http://baijiahao.baidu.com/builder/preview/s?id=1841515055481980160,2025-08-26,8,0,0,0,0,323
小而美：垂直领域大模型全流程实战指南,http://baijiahao.baidu.com/builder/preview/s?id=1841424377720639638,2025-08-25,8,0,0,0,0,78
苹果秋季发布会定档，iPhone 17系列迎来三年来最大升级,http://baijiahao.baidu.com/builder/preview/s?id=1841424375203322088,2025-08-25,9,1,1,0,0,174
2025年最新10-36B大语言模型横评：谁才是AI「中模型」落地的“性价比之王”？,http://baijiahao.baidu.com/builder/preview/s?id=1841074286409753262,2025-08-25,6,0,0,0,0,103
再见，字符串拼接！微软开源POML：提示词工程的终极进化,http://baijiahao.baidu.com/builder/preview/s?id=1841152834387418547,2025-08-22,2,0,0,0,0,41
你好「微软」，我叫「巨硬」。新首富正式申请「MacroHard」商标，玩梗背后是……,http://baijiahao.baidu.com/builder/preview/s?id=1840775766769595169,2025-08-18,4,0,0,0,0,90
